item_id,text,category,source
ex_001,"Establish a universal basic income of €900/month for all citizens over 18, funded through a progressive tax on capital income.",Economy & Taxation,synthetic
ex_002,"Expropriate vacant properties owned by banks or investment funds and allocate them to regulated social rental housing.",Infrastructure & Housing,synthetic
ex_003,"Eliminate public funding of political parties. Parties should be funded solely by voluntary contributions from members and supporters.",Institutions & Government,synthetic
ex_004,"Reduce public spending by 30% over the next four years by eliminating administrative duplication between the central state and regional governments.",Economy & Taxation,synthetic
ex_005,"Legislate a maximum 32-hour working week, maintaining current salary levels for all workers.",Labour & Job Market,synthetic
ex_006,"Privatise the management of public hospitals while maintaining state ownership, following a concession model with quality controls.",Public Services,synthetic
ex_007,"Increase the number of law enforcement officers by 20%, with a special focus on high-crime areas.",Security & Defence,synthetic
ex_008,"Legalise personal cannabis use and regulated production, with state oversight of retail points and minimum THC content.",Rights & Freedoms,synthetic
ex_009,"Ban single-use plastics in retail. Businesses will have 18 months to adapt before penalties apply.","Science, Energy & Environment",synthetic
ex_010,"Introduce personal finance as a compulsory subject in secondary school, covering saving, investment, credit, and budget management.",Culture & Civic Education,synthetic
ex_011,"Abolish inheritance tax on primary residences passed to direct family members. Wealth accumulated through a lifetime of work should not be taxed twice.",Economy & Taxation,synthetic
ex_012,"Introduce a windfall profits tax on energy companies that record profits above their five-year average during periods of high consumer energy prices.",Economy & Taxation,synthetic
ex_013,"Create a public pharmaceutical company to manufacture generic medicines for the national health system, reducing dependence on private suppliers.",Public Services,synthetic
ex_014,"Require all public hospitals to publish waiting-time data by specialty and region on a monthly basis, with penalties for persistent underperformance.",Public Services,synthetic
ex_015,"Convert all fixed-term public sector employment contracts to permanent positions for workers who have been continuously employed for more than two years.",Labour & Job Market,synthetic
ex_016,"Allow companies with fewer than ten employees to agree working hours and conditions directly with workers, without sector-level collective bargaining.",Labour & Job Market,synthetic
ex_017,"Mandate that all new residential buildings of more than four floors include a minimum 20% allocation of units for subsidised rental housing.",Infrastructure & Housing,synthetic
ex_018,"Deregulate urban planning restrictions on residential construction density to increase housing supply and reduce prices through market competition.",Infrastructure & Housing,synthetic
ex_019,"Establish a national registry of beneficial ownership for all companies operating in the country, publicly accessible and updated quarterly.",Institutions & Government,synthetic
ex_020,"Reduce the number of elected representatives in the national parliament by 40% to cut political costs and improve legislative efficiency.",Institutions & Government,synthetic
ex_021,"Create a standing citizens' assembly, selected by sortition, with binding advisory power over major constitutional amendments.",Institutions & Government,synthetic
ex_022,"Reform the electoral system to introduce a mixed proportional-majoritarian model, replacing pure proportional representation in all constituencies.",Institutions & Government,synthetic
ex_023,"Prohibit the use of facial recognition technology by law enforcement in public spaces without prior judicial authorisation.",Security & Defence,synthetic
